Swedish,sv,Inte läsa nästa mening,Jag kan inte stå ut med det när en mening slutar inte som du tror att det bläckfisk,"Vissa människor är som moln, när de går bort, blir dagen ljusare","Om du stirrar på detta och stroke hakan, kan du verkar intelligent och odlades","Om du letar efter ett tecken, är det",Är det inte konstigt att allt låter bättre på ett främmande språk?,Den tidiga fågeln får masken,"Jag vet inte det bästa Schweiz, men deras flagg är ett stort plus"
Tajik,tg,Оё ҳукми навбатии хонда намешавад,"Ман аз он дар канор нест, вақте ки ҷазо тавр роҳи шумо онро ҳаштпо фикр тамом намекунад","Баъзе одамон ба монанди абрҳо ҳастанд, вақте ки онҳо бираванд, рӯзи равшантар меорад","Агар шумо дар ин хира ва зуд хушӯъашон худ, шумо метавонед соҳибақл ва фарњангиро пайдо","Агар шумо ибрате менигаристанд, ин аст, ки","Оё на он аст, ки ҳама чиз цалатӣ садо дар як забони хориҷӣ беҳтар?",Дар парранда аввали меорад кирми,"Ман намедонам, беҳтарин чизе дар бораи Швейтсария нест, балки парчами худ плюс бузург аст"
Tasmanian,,,,,,,,,
Thai,th,ไม่ได้อ่านประโยคต่อไป,ฉันไม่สามารถยืนได้เมื่อประโยคไม่ได้จบแบบที่คุณคิดว่ามันปลาหมึก,บางคนเป็นเหมือนเมฆเมื่อพวกเขาหายไปวันที่ได้รับความสว่าง,ถ้าคุณจ้องมองที่นี้และโรคหลอดเลือดสมองคางของคุณคุณอาจปรากฏที่ชาญฉลาดและการเพาะเลี้ยง,หากคุณกำลังมองหาสัญลักษณ์นี้มันเป็น,มันไม่แปลกที่ทุกอย่างเสียงดีในภาษาต่างประเทศ?,นกในช่วงต้นได้รับหนอน,ผมไม่ทราบว่าสิ่งที่ดีที่สุดเกี่ยวกับวิตเซอร์แลนด์ แต่ธงของพวกเขาเป็นบวกใหญ่
Turkish,tr,Bir sonraki cümleyi okumayın,Bir cümle bunu ahtapot düşündüğünüz şekilde bitmiyor ben onu duramaz,"Bazı insanlar onlar gidince, gün parlak olur, bulutlar gibidir","Bu bakıyorum ve eğer inme çene, zeki ve kültürlü görünebilir","Eğer bir işaret aradılar, bu is it",her şeyin bir yabancı dilde iyi sesler tuhaf değil mi?,Erken kalkan yol alır,"Ben İsviçre hakkında en iyi şey bilmiyorum, ama onların bayrağı büyük bir artı"
Turkmen,tk,,,,,,,,
Ukrainian,uk,Чи не прочитати наступне речення,"Я терпіти не можу, коли пропозиція не закінчується, як ви думаєте, що восьминіг","Деякі люди, як хмари, коли вони йдуть, на наступний день стає яскравішим","Якщо ви дивитеся на це і удар ваш підборіддя, ви можете здаватися розумним і культивують","Якщо Ви шукали знак, це його","Хіба це не дивно, що все звучить краще на іноземній мові?",Рання пташка отримує хробака,"Я не знаю, що краще за все про Швейцарію, але їх прапор є великим плюсом"
Urdu,ur,اگلے جملے پڑھ نہ کریں,ایک جملہ کے آپ یہ سوچتے ہیں آکٹپس ختم نہیں ہوتی جب میں اسے برداشت نہیں کر سکتا,کچھ لوگ، بادلوں کی طرح ہیں وہ دور جانا جب، دن روشن ہو جاتا ہے,آپ کو اس گھورتے اور تو فالج اپنی ٹھوڑی، آپ کو ذہین اور مہذب ظاہر ہو سکتا ہے,آپ کو ایک نشانی کے لئے تلاش کر رہے تھے، یہ بات ہے,یہ سب کچھ ایک غیر ملکی زبان میں بہتر لگتا ہے کہ عجیب نہیں ہے؟,ابتدائی پرندوں کیڑے ہو جاتا ہے,میں نے سوئٹزرلینڈ کے بارے میں سب سے اچھی بات نہیں جانتے، لیکن ان کے پرچم ایک بڑا پلس ہے
Uzbek,uz,keyingi hukmni o&#39;qimaymiz,"bir jumla Agar u sakkizoyoq deb o&#39;ylayman yo&#39;l tugamaydi, men uni turolmaydi","Ba&#39;zi odamlar, ular yo&#39;qol qachon, bir kun porloq oladi, bulutlar kabidir","Agar bu qarayman va agar zarba sizning Chin, siz aqlli va madaniyatli paydo bo&#39;lishi mumkin","Agar oyat qidirayotgan bo&#39;lsa, bu u",Bu har bir narsani chet tilida yaxshiroq tovushlar deb g&#39;alati emasmi?,erta qush chuvalchangni oladi,"Men Shveytsariya haqida eng yaxshi narsa bilmayman, lekin ularning bayrog&#39;i katta ortiqcha"
Vietnamese,vi,Đừng đọc câu tiếp theo,Tôi không thể chịu đựng được khi một câu không kết thúc theo cách mà bạn nghĩ rằng nó bạch tuộc,"Một số người cũng giống như những đám mây, khi họ đi xa, những ngày được tươi sáng hơn","Nếu bạn nhìn chằm chằm này và đột quỵ cằm của bạn, bạn có thể xuất hiện thông minh và có văn hóa","Nếu bạn đang tìm kiếm một dấu hiệu, đây là nó",Không phải là nó lạ mà tất cả mọi thứ có vẻ tốt hơn trong một ngôn ngữ nước ngoài?,Những con chim đầu giúp sâu,"Tôi không biết điều tốt nhất về Thụy Sĩ, nhưng lá cờ của họ là một cộng lớn"
Zulu,zu,Musa ukufunda lomusho olandelayo,I cha bekezelela it uma umusho akugcini indlela ocabanga ukuthi octopus,"Abanye abantu bafana amafu, lapho uhambe, usuku uthola licace","Uma ngizibuka ngalesi nonhlangothi chin yakho, ungase sibonakale sihlakaniphile futhi cultured","Uma babefuna isibonakaliso, yilokhu",Aint it uyinqaba ukuthi konke umsindo kangcono ngolimi okungelona lwakubo?,Le nyoni zakuqala uthola worm,"Angimazi into engcono mayelana Switzerland, kodwa ukumaka kwabo is a plus enkulu"
